LSOA11CD,travel_time_mins
E01018750,31
E01018751,31
E01018752,32
E01018753,34
E01018754,38
E01018755,38
E01018756,40
E01018757,34
E01018758,16
E01018759,25
E01018760,24
E01018761,26
E01018762,28
E01018763,31
E01018764,35
E01018765,35
E01018766,19
E01018767,20
E01018768,22
E01018769,20
E01018770,20
E01018771,19
E01018772,18
E01018773,30
E01018774,29
E01018775,31
E01018776,32
E01018777,30
E01018778,24
E01018779,27
E01018780,39
E01018781,39
E01018782,22
E01018783,24
E01018784,17
E01018785,29
E01018786,35
E01018787,34
E01018788,35
E01018789,37
E01018790,36
E01018791,37
E01018792,36
E01018793,37
E01018794,36
E01018795,36
E01018796,35
E01018797,40
E01018798,39
E01018799,39
E01018800,38
E01018803,16
E01018804,15
E01018805,15
E01018806,14
E01018807,4
E01018808,3
E01018809,4
E01018810,2
E01018811,16
E01018812,16
E01018813,17
E01018814,16
E01018815,10
E01018816,8
E01018817,7
E01018818,6
E01018819,2
E01018820,5
E01018821,3
E01018822,3
E01018823,4
E01018824,5
E01018825,8
E01018826,7
E01018827,11
E01018828,15
E01018829,9
E01018830,10
E01018831,17
E01018832,17
E01018833,12
E01018834,12
E01018835,12
E01018836,12
E01018837,12
E01018838,14
E01018839,15
E01018840,14
E01018841,14
E01018842,11
E01018843,9
E01018844,11
E01018845,12
E01018846,12
E01018847,14
E01018848,11
E01018849,25
E01018850,21
E01018851,9
E01018852,10
E01018853,5
E01018854,4
E01018855,1
E01018856,1
E01018857,3
E01018858,3
E01018859,15
E01018860,14
E01018861,16
E01018862,12
E01018863,10
E01018864,13
E01018865,3
E01018866,5
E01018867,5
E01018868,4
E01018869,5
E01018870,5
E01018871,5
E01018872,7
E01018873,6
E01018874,5
E01018875,5
E01018876,7
E01018877,6
E01018878,5
E01018879,21
E01018880,21
E01018881,31
E01018882,17
E01018883,16
E01018884,16
E01018885,18
E01018886,18
E01018887,18
E01018888,17
E01018889,4
E01018890,4
E01018891,4
E01018892,8
E01018893,4
E01018894,5
E01018895,1
E01018896,3
E01018897,3
E01018898,2
E01018899,13
E01018900,15
E01018901,9
E01018902,29
E01018903,23
E01018904,28
E01018905,15
E01018906,19
E01018907,21
E01018908,4
E01018909,4
E01018910,3
E01018911,2
E01018912,4
E01018913,2
E01018914,2
E01018915,3
E01018916,4
E01018917,4
E01018918,7
E01018919,7
E01018920,31
E01018921,10
E01018922,12
E01018923,10
E01018924,11
E01018925,23
E01018926,10
E01018927,2
E01018928,2
E01018929,2
E01018930,2
E01018931,2
E01018932,3
E01018933,3
E01018934,4
E01018935,3
E01018936,41
E01018937,40
E01018938,40
E01018940,19
E01018941,22
E01018942,26
E01018943,50
E01018944,5
E01018945,6
E01018946,30
E01018947,31
E01018948,31
E01018949,32
E01018950,31
E01018951,40
E01018952,34
E01018953,38
E01018954,25
E01018955,22
E01018956,16
E01018957,19
E01018958,20
E01018959,42
E01018960,40
E01018961,42
E01018962,16
E01018965,28
E01018966,36
E01018967,35
E01018968,26
E01018969,31
E01018970,9
E01018971,10
E01018972,9
E01018973,8
E01018974,46
E01018975,9
E01018976,2
E01018977,1
E01018978,12
E01018979,12
E01018980,10
E01018981,11
E01018982,12
E01018983,12
E01018984,13
E01018985,12
E01018986,13
E01018987,10
E01018988,5
E01018989,5
E01018990,8
E01018991,10
E01018992,10
E01018993,11
E01018994,1
E01018995,1
E01018996,2
E01018997,2
E01018998,1
E01018999,1
E01019000,2
E01019001,1
E01019002,7
E01019003,4
E01019004,3
E01019005,13
E01019006,5
E01019007,13
E01019008,13
E01019009,13
E01019010,13
E01019011,15
E01019012,17
E01019013,3
E01019014,4
E01019015,4
E01019016,4
E01019017,3
E01019018,21
E01019019,20
E01019020,20
E01019021,19
E01019022,19
E01019023,19
E01019024,9
E01019025,12
E01019026,8
E01019027,12
E01019028,20
E01019029,20
E01019030,22
E01019031,20
E01019032,5
E01019033,4
E01019034,5
E01019035,11
E01019036,10
E01019037,11
E01019038,9
E01019039,14
E01019040,8
E01019041,3
E01019042,2
E01019043,3
E01019044,3
E01019045,4
E01019046,3
E01019047,4
E01019048,22
E01019049,20
E01019050,21
E01019051,21
E01019052,9
E01019053,11
E01019054,13
E01019055,13
E01019056,6
E01019057,8
E01019058,7
E01019059,7
E01019060,24
E01019061,19
E01019062,19
E01019063,16
E01019064,16
E01019065,16
E01019066,11
E01019067,4
E01019068,7
E01019069,11
E01019070,10
E01019071,9
E01019072,10
E01019073,6
E01019074,9
E01019075,8
E01019076,9
E01033289,21
E01033291,18
E01033292,18
E01033294,38
